,begin,end,entry,links,max_page,titles
0,20.12.2000,15.07.2019,"['ingiliz menseli dunyanin en buyuk kablosuz telefon sirketi..', 'son zamanlarda çıkan reklamı süper olan firma.reklam müziği dandy warhols - bohemian like you', 'mtv video music awards 2001 in ana sponsoru olan sirket.', 'sloganı ""how are you"" olan kurum..', 'turkcellden de fena vuran cep telefonu sirketi', 'formula 1takimlarindan ferrari ile de buyuk bir sponsorluk anlasmasi imzalamis olan dunyanin en buyuk telekom sirketi.', 'en büyük mobil iletişim şirketi mertebesine mannesmann mobilfunk u da aldıktan sonra ulaşan firma. kapitalizmin değişik bir aspect ine izleyici olmamızı sağlamıştır. mannesmann ın d2 adlı gsm şebekesi önce büyük yazıyla d2 mannesmann, küçük yazıyla vodafone', ""1 ocak 1985'te ingiltere'nin ilk cep telefonu goru$mesini yapmi$ olan $irket."", ""musteri hizmetleri inanilmaz derecede kaba insanlardan olusan, istediginiz servise ulasabilmek icin 20'nin uzerinde degisik numara cevirmeniz gereken sirket."", ""ayrica ingiltere'den turkiyeyi ararken dakikasina 3.000.000 tl aliyorlar.""]",https://eksisozluk.com/vodafone--101326,497,vodafone
1,28.05.2018,18.07.2019,"['öncelikle hattım vodafone değil. eşim kullanıyor. o da yaklaşık 2 aydır kullanıyor bu operatörü. efendim her pazartesi bilindiği üzere çarkı çevirmek suretiyle size çoğunluğu gb olan hediyeler veriyor bu vodafone. bir de araya “sürpriz hediye” diye bir şey sıkıştırmışlar ki olay da burada başlıyor zaten(koton’dan, sosyopix’den yapacağınız 75 tl üzeri alışverişe 15 tl indirm kodu gibi... bazen 100 tl harcamaya 10-15 tl gibi. durduk yere niye 85-90 tl harcayayım ki? 90 tlye internet alsam sülalem girse bitiremez be.).eşimin hattı üzerinden hareketle, sadece 1. hafta 1gb internet hediyesi çıktı sonrasında hep “sürpriz hediye” çıktı. 7 hafta üst üste hem de inanılır gibi değil.dedim ki bizim elimizin ayarı yok millet sapır sapır alıyordur 5gb’ı... ama iş yerindeki arkadaşara da konuyu açtığımda, onlar da özellikle son 4 haftadır kendilerine hep bu sürpriz hediyenin çıktığını söylediler(20 kişi).neyse. eyy romalılar, eyy amerika! bu bir tesadüf olamaz.buradan vodafone’u esefle kınıyorum ve kendilerini bir an önce huzura, sukunete davet ediyorum.not', 'üstteki user a bende katılıyorum. devamlı 500 mb internet üstelik 24 saat geçerli çıkmakta. işin içinde kurnazlık olmasa zaten böyle kampanya yapmazlar.', ""bana şimdi sosyopix.com'dan indirim çıktı.e zaten vodafone red'e indirimi vardı. yani aslında hiçbir şey çıkmadı.ay sonlarında gelen 1 gb internetle bile yüz güldürebilen olay."", 'hiç çark da olmayabilirdi. zorunda mı?', 'uzun zamandır şikayet edeceğim ama unutuyorum aynen öyle özellikle son 2-3 aydır koton hediye çeki her hafta aynı terane.vodafone kurnazlığıdır.', 'evet 2 haftadır beni de öfeliyorlar..', ""bugüne kadar hiç 1 gb'den farklı hediye çıkmamıştı. şimdi çevirdim sosyopix 40 tl alışverişe 10 tl indirim çıktı."", 'vodafone içi sınırsız konuşmalı red tarifesine 24 saatlik vodafone içi 100 dk veriyor adamlar. çok da kötü niyetli değiller bence, yaptığı işten haberi olmayan mal değneklerinin çıkarabildiği iş olması daha muhtemel.', 'katılmadığım önerme çarkı çevirmeye başladığımdan beri en fazla iki üç defa kotondan hediye çeki kazandım,ben de sürekli 1 gb 24 saat geçerli çıkmasından muzdariptim heralde bi hile var hep aynı çıkıyor diye düşünmüştüm meğer daha kötü durumda olanlar varmış.', 'çark olduğunu bile bilmiyordum.denedim ve surprise mothafocka !!!koton.com dan hediye çekigötmüşsün vodafone!']",https://eksisozluk.com/vodafone-hediye-carki-kurnazligi--5668188,79,vodafone hediye çarkı kurnazlığı
2,04.12.2015,11.05.2019,"['vodafone self servis\'in yeni adi bu anladigim kadariyla. ayrica vodafone\'un muhtesem (!) hizmetini gözler önüne sermekte çok basarili.öyle ki vodafone uyelerine tek tek mesaj atip, ""vodafone yanimda uygulamasina giris yapin, haftalik 1 gb bedava internet kazanin!!!!!!"" diyorlar fakat vodafone\'un 3g\'si istanbul\'un gobeginde bu kucuk programi açamiyor ahahah. 1 gb internet pakedi veriyoruz, hem de internete girmeyeninden!!', 'lazım olduğunda çalışmayan, alabileceğim ek paketlerin tamamını seçeneklerde göstermeyen uygulama. nerede en pahalı, en saçma, en işime yaramaz seçenek var, onları koyuyor önüme.', 'rezil bir uygulama. önceki self servis olanı da berbattı, bu da berbat. açılmıyor lan kafasına göre. on kez giriyorsan sekizinde açılmıyor uygulama. birinde de bilgilerinizi yüklüyoruz yazısı çıkıyor, öylece kalıyor. şanslıysan bir kere sorunsuz girersin. yahu koskoca operatörsün, yaptırsana doğru düzgün bir uygulama. aylardır çile çektiriyorsun.', ""vodafone'un diğer servislerinden memnun muyum bilmiyorum ama yanımda uygulamasını indirdiğim günden beri kullanamıyorum. telefon numaram ile giriş yapamıyorsam başka nasıl yapacağım? çözen biri var mı? hayır. önerir miyim? elbette hayır."", 'şu an yine aşırı yoğunluk nedeniyle hizmet veremeyen uygulama, hehe...', ""bugüne kadar hayatımda gördüğüm en kötü ve en berbat self servis uygulaması olabilir kendisi. turkcell, avea, eski vodafone müşteri hizmetleri derken çoğunu kullandım diyebilirim. aralarında gördüğüm en kötü uygulama kesinlikle bu. bildiğin ağır bir uygulama ve açılmıyor.evet evet ciddi anlamda 8 dakika beklememe rağmen açılış ekranında beni bekletti, en sonunda açıldığında ise kalan verilerimi görebilmem için (yükleniyor yazıyordu) bir 3 dakika daha beklemem gerekti. fatura bilgilerine girmek ise zaten bir ölüm.yani vodafone öyle bir self servis uygulaması yapmış ki, self servisten bu kadar uzak olunur.hani 1 kere uygulamaya girmek için 8 dakika beklesem önemsemez geçerim ama 10 denememden 5'inde giriş yapamıyorum uygulamaya. ben böyle berbat bir uygulama görmedim ya."", ""eğer yetkili bir abi burayı okursa açsın kontrol etsin şu uygulamayı da rezalete şahit olsun. bu proje kesinlikle fail, lamı cimi yok. gözünüzü seveyim dış kaynağa yaptırdıysanız gidin paranızı geri alın, iç kaynakları değerlendirdiyseniz proje kapsamında adamları işten kovun. her daim hata verir, açılması için 2 dk beklersiniz, acilen dakika yüklemeniz gerekir yükletmez, çöker, patlar çatlar!en iyi tanım: rezalet.hayır bir de vodafone'un uygulaması olacak. rezalet demiş miydim?"", 'berbat uygulama. cok nadir denk getirebilirsem tl yukleyebiliyorum. hemen hemen her seferde hata verip delirtiyor. sirf bu yuzden baska hatta gececegim.', 'her ay bir hafta boyunca kullanabiliceğiniz 1 gb ücretsiz interneti uygulamayı kullanarak alabilirsiniz. fakat ramazan ayında üç gün boyunca kullanabiliceğiniz 1gb interneti uygulamayı açar açmaz sormadan verir ve yukarda bahsettiğim nimetten faydalanma imakanınızı ortadan kaldırırsa sakın sosyal medya aracılığı ile ulaşayım demeyin. zira sizi arar ve zaten bildiğiniz şeyleri söyler telefonu kapatırlar. sormadan iş yapmak bu şirketin de kanına işlemiştir güzel ülkemde.', 'hiçbir işe yaramayan uygulama. arkadaş her kalan kullanım sorduğumda hata mı verir? çok nadir denk geliyor söylediği. mesaj atsan gene servis dışı, kullanım dışı yok bilmem ne. yapın şunu artık.']",https://eksisozluk.com/vodafone-yanimda--4982130,16,vodafone yanımda
3,17.07.2019,0,"['an itibariyle vodafone mobil internet sistemi çökmüştür.', 'bazı uygulamalar çökmüştür dediğin gibi olsabu satırları okuyamıyor olurdun', ""vodafone kullanıyorum entry'i dumanla turkcell kullanan bir arkadaşa yolladım o girdi.""]",https://eksisozluk.com/17-temmuz-2019-vodafone-internet-kesintisi--6111331,0,17 temmuz 2019 vodafone internet kesintisi
4,17.07.2019,0,"['ama nasıl içkiliyim cümlesi eksik beyan.', 'kamu spotu gibi video.tiner sağlığa zararlıdır.']",https://eksisozluk.com/vodafone-besiktas-sayesinde-cok-buyuk-isim-oldu--6111140,0,vodafone beşiktaş sayesinde çok büyük isim oldu
5,17.07.2019,0,"[""vodafone yanımda uygulamasında çark çevirmek suretiyle hediye kazandırdığını iddia eden trişka.iyice işportacıya bağlamıştır. (bkz: güven pazarlama adi komandit ltd. şti.) (bkz: baskül ailesi)düdüklü tencere, elektrikli ev aletleri kategorilerinde indirim gibi saçma sapan sözde hediyeler vermektedir.aynı ürün yaygın internet alışveriş sitelerinde vodafone'un indirimli olduğunu iddia ettiği üründen çok daha ucuz. vodafone red'li olarak operatör değiştirecek kadar beni uyuz etmiştir.edit: ekleme vs."", '(bkz: vodafone hediye çarkı kurnazlığı)(bkz: aramaya inanmak)hakkında açılmış 78 sayfalık başlık var. hala yeni başlık açılıyor...']",https://eksisozluk.com/vodafone-bana-ne-var--6110947,0,vodafone bana ne var
6,24.09.2010,03.05.2019,"[""vodafone tarafından kontratlı iphone, blackberry veya 3 aylık fatura ortalaması 150 tl'nin üzerinde olan bireysel/faturalı sahiplerinin katılabileceği özel bir programdır. başvurmanız halinde adresinize hoş geldiniz paketi ile birlikte vodafone red kartı gönderiyorlarmış. bu programa katılan vodafone abonelerinin bazı ayrıcalıkları olacakmış. bu ayrıcalıklardan bazıları:- vodafone red müşteri hizmetleri ile özel olarak oluşturulmuş bir birim tarafından sıra beklemeden destek alabiliyorsunuz.- vodafone red team birimi ile teknik bir ekip alfa romeo giulietta araçlarla kapınıza geliyor ve bozulan telefonunuzu tamire götürüp getiriyor.- vodafone red back-up kişisel asistanlık ile boyner holding tarafından kurulmuş olan back-up programından yararlanabiliyorsunuz. bu program içerisinde eğlence danışmanalığından yol yardım ve konut hizmetlerine kadar destek alabilmeniz mümkün.- red indirimli shuttle uygulaması ile istanbul, ankara, izmir, antalya, bodrum ve çeşme'de havaalanına shuttle hizmetine kavuşabiliyorsunuz.- red card ile birlikte anlaşmalı olunan otel ve restoran gibi yerlerde indirime sahip olabiliyorsunuz.detaylı bilgi: vodafone red"", 'katılmak için aylık 150 tl fatura ortalamasına sahip olunması gereken bir program. aylık 150 tl fatura mı kaldı lan?', 'çılgın gibi konuşan kullanıcılarına zaten faturayı geçiriyoruz, bari red müşteri filan diyelim kendilerini özel sansınlar kampanyasıdır. zira ben red müşteriymişim ama hala bir ayrıcalığını göremedim kabarık faturalardan başka.', ""vodafone sözünü duyunca tüylerim diken diken olduğundan, uzak durulması gereken olay. aman diyim de uyarayım..müşteri hizmetlerini arayıp 20 dakika bekletildikten sonra, ''bizi başka bir hattan aramanız gerekiyor bu hatla işlem yapmak için'' diyen ve turkcell hattan aradıktan ve 20 dakika daha bekledikten sonra ''yapabileceğimiz birşey yok'' yanıtını veren bir kurum. vodafone modem aldığımda resmen kontörlerimi gasp etmişlerdi.iyisi mi aman diyim sözlük. uzak durun.."", 'love is red reklam müziğini her duyduğumda akabinde ""yalnızlıktan sıkıldın mı? hemen ara.. sıcak sohbetler... 0 900 333 33 33..."" gibi bir konuşma bekliyorum. ayrıca da ntv nin oscar töreninde gına getirmiştir.', 'vodafone dan aldigim iphone 4 arizalaninca aradigim ekip, (ekranda sari leke)ertesi gun cihazimi gelip alip yerine iphone 3gs verdiler, sim kartim ve bilgilerim hemen transfer edildi, 2 hafta kadar bir surede iphone 4 umu degistirip bana yenisini getirip teslim ettiler.', 'http://www.redvodafone.com/#/kucuk_otelleradresindeki sitesinde taa ne zamandır hacked by bilmemne ibaresi bulunan servis. insan bi bakar sitesine lan.olmaz ya hani, olur da düzeltirlerse: http://imgur.com/4oyj0', 'vodafone dan aldıgım iphone 3gs arızalanınca aradıgım ekip, (dusen power tusu)kendilerini aramamdan yaklasık 2 hafta sonra (bu sure zarfında bir kac kez daha aranıp hatırlatma yapılmıstır kendilerine) cihazımı gelip aldılar ve yerine samsung marka bir telefon verdiler. (modelini bilmiyorum bildigim sey android bir telefon olmasına ragmen icinde android market olmaması) telefonu teslim alan arkadas servis suresinin yaklasık 20 is gunu surecegini soyledi. telefonu kendilerine teslim ettigim tarih 18 ekim.  20 ekim tarihinde ise cihazımın yenilenmesine karar verildi ve su an 1 ayı bitirmis olmamıza ragmen telefon ortalarda yok, telefondaki red musteri temsilcimiz halen degisim cihazı beklendigini (1 aylık bir surede bir telefon nasıl gelemez anlamak mumkun degil) ve kendilerinin bu konuda herhangi bir sey yapamayacagını soylemekte. telefonu teslim ettikleri servisi aramak ise bildigin çin işkencesi saatlerce telefon basında musteri temsilcisini bekle ustune de konuyla ilgili hic bir yanıt alama.  telefonun teslim edildigi, daha dogrusu vodafone dan kontratlı telefon alanların mecburen kullanmak zorunda oldugu icler acısı servis icin (bkz: teleservice) bu vodafone denen firmadan kontratlı telefon almak isteyenler var ise kendilerine bir kez daha dusunmelerini tavsiye ediyorum.', ""79 tl'ye vodafone red mini tarifesi ortalama kullanım için gayet uygundur.- vodafone ve sabit hatlarla sınırsız görüşme (adil kullanım yaklaşık 10,000 dakika sanıyorum)- diğer hatlarla ve yurtdışı vodafone'larla 1000 dakika- 2 gb kotalı internet- 1000 smsvs. vs."", '24 aralik 2011 00:00 itibariyle sitesinde yazan 7/24 hizmet verdigi iddia edilen telefon numarasi arandiginda aradiginiz kisiye su anda ulasilamiyor diyor. uyudunuz mu olm naptiniz, ne bicim hizmet lan bu?']",https://eksisozluk.com/vodafone-red--2525270,19,vodafone red
7,09.06.2019,15.07.2019,"['vodafone yanımda uygulamasının haftalardır internet veya dakika vermemesi ve saçma sapan sitelerde indirim göstermesi uygulamanın dürüst çalışmadığının göstergesidir.başlarda durumun sadece benden kaynaklandığını düşündüm ancak arkadaşlarıma sorduğumda kendilerinde de aynı durumun mevcut olduğu haftalardır herhangi bir dakika ya da internet alamadıklarını söylediler.daha sonra internetten de araştırdığımda gerçekten de hemen hemen herkese internet ya da dakika vermeden saçma sapan sitelerden indirim göstermektedir.ınsanları kandırmanın alemi yok madem dakika ve internet vermeyeceksin bu çarkı çevirmenin herhangi bir manası da yok.edit: karı gibi sızlanmayın, hani 8k maaş alıyordunuz gibi laflar kullanan ve böyle bir şey yok diyen arkadaşlar algınız çok zayıf kolektif düşünün milyonlarca kişinin belki de milyonlarca lirası cebinde kalacak bunlar çakallık yapmasa. çoğu kişiden uygulamanın kişisel verilerle çalıştığını duydum. umarım ilgili merci konuya bir açıklık getirir.', '+1 ile katılıyorum', '(bkz: vodafone hediye çarkı kurnazlığı) (bkz: aramaya inanmak)', 'herhafta denerim bir kere bile dk yada hediye birşey vermedi. sikimsonik.com sitelerden indirim veriyor. koskoca vodafone diyorsun zihniyet ne alırsan bi milyoncu az vizyoner olun. insanlar o günü iple çekeceği hediyeler verin uygulamanız kullanılsın. boş iş yapıyorsunuz.', 'her pazartesi durduk yere sinirlenmeme sebep olan kampanya.', 'çarkı çeviren biz, durduran onlar. inidirin ayağına boyuna reklam da duruyor ne hikmetse.', '(bkz: vodafone hediye çarkı kurnazlığı)', 'an itibariyle hayatımda tıklamadığım bir siteden 10 tl indirim kazandıran rezillik', 'başlığı görünce hadi çarkı çevireyim dedim 4 gb internet çıktı. umarım hayattaki tüm şansımı burada harcamamışımdır.*edit: inanmayan olmuş* https://eksiup.com/p/ux29167stopa', ""6 saat geçerli 1 gb hediye internet paketini bile çok gören vodafone türkiye'nin daha çok tüketmemiz için bize dandinik siteler ya da ürünler için geçerli indirim vermesi olayıdır.""]",https://eksisozluk.com/vodafone-yanimda-bana-ne-var-kepazeligi--6066705,29,vodafone yanımda bana ne var kepazeliği
8,02.04.2019,0,"['evet son 2 aydır her hafta çevirmeme rağmen (arkadaş da vodafone) tek verdiği şeyin saçma sapan sitelerde 30-40tl indirim olması (ve bu siteler, piyasa değerinin yaklaşık 30-40tl üzerinde satış yapıyorlar zaten). madem insanlara hediye internet veya arama tarzı şeyler vermeyeceksiniz, insanlara bunu vaad etmeyin.', '(bkz: vodafone hediye çarkı kurnazlığı) (bkz: aramaya inanmak) (bkz: yapılmışı var)', ""(bkz: marketing)(bkz: reklam)(bkz: promosyon)(bkz: kapitalizm)(bkz: almadan vermek allah'a mahsus)if you don't pay for the product you are the productbu basliklari iyice calis, guzelce anla icinde yasadigin sistemi. sonra bana ilkogretimde bunu ogretmediler ben bilmiyordumculuk olmasin."", '2018 eylül ayından beri asla ama asla hediye internet, dakika çıkmadı ve neredeyse sektirmeden her hafta kullanıyorum bu illeti. sürekli sürpriz adi altında şaklabanlık çıkıyor mesela ""yarak-kurek.com\'dan 500 tl\'lik 7. alışverişinize 10 tl indirim"" veya ""zurna.com\'dan 2. zurnanıza bir delik de bizden"" gibi.2020 şubat ayına kadar sabrediyorum. taahhütüm dolduğu an farklı bir operatöre geçeceğim ve asla vodafone kullanmayıp, etrafımdakilere de kullandırmayacağım. zaten ankaranin göbeğinde de çekmiyor, evde de adam gibi çekmiyor, yolda çekmiyor, işte çekmiyor baz istasyonuna zömçürdüğüm.']",https://eksisozluk.com/vodafone-bana-ne-varin-sahtekarlik-olmasi--5991288,0,vodafone bana ne var'ın sahtekarlık olması
9,14.07.2019,0,"[""açık ve bariz şekilde belli olan, bir aydan beri vodafone hat kullanmaya başladığım için, özellikle gördüğüm vasatlıktır.hediye çarkı denilen şeyden sürekli alâkasız hediyeler çıkması ve bunun defalarca eleştirilmesine rağmen hâlâ devam etmesi, müşteri temsilcisine bazen gün boyu bağlanamama ve bu sebeple mağdur olma, şehrin ortasında 4.5g çekmemesi, indirme hızının düşük olması, online oyun oynarken sürekli bağlantı kesintilerinin yaşanması gibi bir sürü sebep sayılabilir bu vasatlığa. bunun dışında benim için normalde de hiç ideal bir operatör değildir. turkcell'de ayda en az 10gb hediye net alabilirken, paket seçenekleri çok daha fazlayken vodafone'da paketiniz bittiği anda yapabileceğiniz tek şey ek paket almaktır. hiçbir şekilde hediye alma durumu yok. zaten kullanan kişiler de genelde, paketini aşmayan, daha ucuz diye seçen müşteriler. paket ucuzluğu dışında pek bir ekstrası yok, ki ben onun da pek fark ettiğini düşünmüyorum.tek artı yönleri müşteri temsilcilerinin özenidir (tabi ulaşabilirseniz). müşteri temsilcileri mümkün olduğu kadar kibar, yardımsever ve ilgilidirler. seçtiğim, geçtiğim, tercih ettiğim için pişmanım."", ""bana göre vodafone türk telekom'dan iyi turkcell'den kötüdür. faturaları da aynı şekilde turkcell'den uygun telekom'dan pahalıdır. fakat şebeke olayı can sıkıcı. bakırköy'ün ortasında oturuyorum. sadece cam kenarında çekiyor. salonun arka tarafında, oturma odasında, mutfakta çekmiyor. mutfaktayken telefon çalınca koştur koştur cam kenarında koşup anca konuşabiliyorum."", 'vodafone ülkedeki en yarrak operatördür. türk telekom bile kat kat daha iyi. öyle diyeyim siz anlayın.', '3.5mbdan fazla indirme hızı gören yeşillendirsin.', ""telsim'den kalma bir vasatlıktır."", 'en azından sapkın bazı vakıfları finanse etmediği için katlanılabilir vasatlıktır.', ""fiyat/performans operatörüdür. sik gibi fatura ödemek isteyen buyursun turkcell'e. vasatlık arıyorsan da türk telekom'a gideceksin güzel kardeşim.""]",https://eksisozluk.com/vodafone-vasatligi--6108198,0,vodafone vasatlığı
