,entry,links,listbegin,listend,maxpage,title
0,"master of puppets daki gitar solo yıllarca telefon melodimdi. alternatif olarak meşhurmalmistinvideosu telefon sesi yapılabilir.özellikle kurumsalda, plazada çalışanlar, patronunuzla aynı asansöre bindiğinizde çok eğleneceksiniz, inanın bana.- üfff nasssı çaliyom amaa... kendimden geçiy...- emre bey?- birilülülülü....- anlamadım emre bey??- anlayacağınız, yarramı çalarsınız...- sizi yarım saat içinde odamda görmek istiyorum emre bey...- miiiiiiiii! uzuuun yıllardır bir david lee roth introsu kullanırım**az kaldı billy eilish bad guy ın malum kısmını yapıcam. ne hale geldik sözlük. gitarı bilmem de kemanı yapmışlığım var.keman sadece titreşimde kullanmayıp, telefonunun çaldığını herkese duyurma merakında olan görgüsüzlerin yapacağı hede. uzun süredir düzenli aralıklarla yaptığım eylem.hep yeri gelse de söylesem diye fırsat kolluyordum.marilyn manson'ıneat me drink mealbümündetim skold' un tam zil sesi yapmalık soloları var:(bkz:putting holes in happiness)(bkz:they said that hell's not hot)(bkz:just a car crash away) gitar sololarını kullanmak özellikle kalabalık ve gürültülü ortamda ayırt edici olduklarından dolayı bir avantaj olarak görülebilir.ayrıca benim lan bu. sevdiğim bi şarkının solosu yıllardır zil sesim. çevremdekiler de bilir o sesin benim telefonuma ait olduğunu. geçmiştechop suey'deki introyu kullandığım zamanları hatırlatarak utanmama vesile olan başlık. gayet olağan bir durum.bundan yıllar önce bunu sıklıkla yapıyordum, hatta kim milyoner olmak ister yarışmasındaki; yarışmacı soruyu bildiğinde alkışı alıp diğer soruya geçme anında 'dıdı dıdı dım!' sesini bile telefon sesi yapmışlığım var.bir keresinde derste çaldı telefonum elemanın biri joker hakkımı kullanmak istiyorum dedi, güzeldir. kafa şişirir.bir de uzun vadede farkında olmadan o şarkıdan soğumanızı sağlar.yapmayın, etmeyin.",https://eksisozluk.com/sarkidaki-gitar-solosunu-telefon-sesi-yapmak--6113746,19.07.2019,20.07.2019,3,şarkıdaki gitar solosunu telefon sesi yapmak
1,"zamanında para ile satarlardı bunları. o zamanlar youtube videoları falan yoktu tabi. çok kişiyi gitar çalmaktan soğutan videolardır aynı zamanda.https://www.youtube.com/watch?v=pcj8jqw737i (bkz:malmistin) ---spoiler---vijivijiviji vujuvujuvujuvuju annnnaasskiimçohhızlıçalıyomlaaaaaynnn vijijiviijiji---spoiler--- 2000'lerin başlarında gitara heves eden her ergenin, 1 ayda akdeniz akşamları, 3 ayda bir derdim var(reverb ve delay olmadan), 6 ayda ise war ensemble çalabileceğini düşünerek metod kitaplarına ilaveten edindiği eğitim içeriğidir. heyhat temel gitar eğitiminden ziyade bir master, belki doktora seviyesindedir. bu haliyle, malmsteen'in o meşhur dublajında olduğu gibi, gerçek anlamda ""y.rramı çalarsınız, ben büyügüm."" deme şeklidir. sırf bu yüzden fender gitarların gerçekten bükülebildiğini düşündüm uzun süre. bir neslin aklınaşu meşhur dublajıylakazınmış videolardır. hala izler gülerim amk.",https://eksisozluk.com/yngwie-malmsteen-gitar-egitim-videolari--5050154,26.02.2016,20.07.2019,1,yngwie malmsteen gitar eğitim videoları
2,"ayakta gitar calarken gitara baglanan hede. uzunlugu arkadaki tokadan ayarlanabilir, iki ucu genelde delikli sert kemer. kotu kullanıldıgında o delikler genisler ve beklenmedik bir anda guzelim gitarın dan diye yere cakılmasına ve zarar gormesine yol acabilir. askı dugmesi olmayan gitarlar icin (klasik-akustik) kilitli modelleri mevcuttur, veya saglam bir ip- ayakkabı bagı ile sapa sıkı sekilde dugumlenebilir. (bkz:strab) (bkz:fender) gitarimi 2 kere dusuren serrefsiz plastik tokalı olanlarına dikkat etmek gerek, kırılabiliyorlar. sonra bi bakmışsınız gitar yerde. metal tokalı veya en iyisi sadece dikişli olanlardan almak lazım. deri makbul elbette. biraz pahalı ama olsun, değer. levy's süper bi marka mesela. fenderin, jim dunlop'un ya da planet waves'in pahalı modelleri de gayet güzel. üzerinde kuru kafa, ateş vs resimleri olanlar nedense sadelerinin 10 katı fiyatında olabiliyorlar. ateş desenlisine sahip olduğum hede.(bkz:planet waves) desenleri bu kadar boktan olduğu halde yüksek fiyatlı, beni hayrete düşüren aksesuar.bu ne çakal bir piyasa böyle? alırsanız düzgün deri olan bir tane alın. böylece bir kere alırsınız. düştü kaçtı derdiniz olmaz. klas durur.",https://eksisozluk.com/gitar-askisi--725492,12.09.2003,19.07.2019,1,gitar askısı
3,"en cok bilinen markalarifender,ibanez,esp,jacksonvegibson'dir.. son yillarda cikan her muzik turunde az da olsa kullanilan muzik aleti. markalar arasinda kalite farki en cok olan muzik aletlerinden olsa gerek. tellerin titreşimini gövdesinde bulunan manyetikler sayesinde elektriğe çeviren ve böylece amplifikatöre bağlandığında yüksek miktarda ses alınabilen gitardır. sap , gövde ve baş olmak üzere üç bölümden oluşur. (bkz:sap) (bkz:crunch)(bkz:distortion)(bkz:vox)(bkz:talkbox)(bkz:overdrive)(bkz:clean)(bkz:power chord)(bkz:wah wah)(bkz:feedback) ismi zikredildiginde bazilarinin aklina hep sert tinilari getiren, lakin istendiginde pamuk gibi sesler veren, tonlamaya onem vermeyenin elinde kuruyan ve kurutan muzik aleti. solo enstruman olarak keman kadar büyük bir potansiyele sahip olsa da bu yaklaşımla az kişi üstüne düşüp tekniğini geliştirmiştir..elektronik oluşu çalan kişiye kolayca ve sonsuz ses karakteri ve efekt olanakları sunmaktadır.fakat akustik olmaması ise büyük dezavantajı olup, iyi ses alabilmek için tekbaşına iyi bir gitarın yeterli olmamasıdır. (bkz:gary moore)(bkz:jason becker)(bkz:joe satriani)(bkz:john petrucci)(bkz:marty friedman)(bkz:michael angelo batio)(bkz:paul gilbert)(bkz:richie sambora)(bkz:slash)(bkz:steve vai)(bkz:eddie van halen)(bkz:vito bratta)(bkz:yngwie malmsteen) (bkz:elektro gitarda sap ayarı)(bkz:elektro gitarda entonasyon ayarı) elektrikli gitar iste.elektrikler varken bi canavara,yokken ise baglamaya donusur. (bkz:akustik gitar)",https://eksisozluk.com/elektro-gitar--49922,21.11.1999,16.07.2019,20,elektro gitar
4,birperformans sanatçısıolabilir.*ben öyle bir insan mıyım!,https://eksisozluk.com/gitar-calan-hirsiz--4004750,16.07.2019,16.07.2019,1,gitar çalan
5,death:overactive imaginationmegadeth:tornado of the soulshelstar:perseverence and despiration ve baptized in blood for the love of god (bkz:son 300 milyon yilin en guzel gitar sololari) testament - the rituel joe satriani - always with me always with you pulsekonserindecomfortably numbdaki dakkalar sürendavid gilmourun solosu. november rain'in ortasindaslashin kustugu solo. ozzy nin live and loud konseri gitardazakk wyldecalan $arki mr crowley...ohalar ohasi (bkz:calinmasi imkansiz sololar) slash'insweet child o mine'daki solosu en iyi rock solosu seçilmiş diye okumuştum bi yerde.,https://eksisozluk.com/en-iyi-gitar-solosu--141136,16.06.2001,16.07.2019,68,en iyi gitar solosu
6,"bir dönem gitarist bir arkadaşımın sarfettiği cümledir, gerçeklik payı olsa da inanmak istemediğim hadisedir.(bkz:istemem)(bkz:aşk oyunu)(bkz:senden ayrı) (bkz:akrebin gözleri)edit: yanlış anlaşılmasın. ne kadar iyi gitar çaldığına örnek olarak verilmiştir. böyle düşünen arkadaşlarınerkin koray 1974 nazilli konserikayıtlarını bir yerlerden bulup dinlemesi tavsiye edilir. krallar'dan da bihaber olan bir bünyenin düşüncesi. (bkz:erkin koray in lsd parcalari) göz kulak yanılgısıdır.(bkz:ip var orda ya) söyleyen kişinin, erkin koray'ı yanlış değerlendirdiğinin işaretidir. erkin koray'ın türkiye'de elektro gitarı ilk kullanan, onu ülkeye ilk sokan adam olduğu hemen herkesçe bilinir di mi? heh işte adam daha o zamanlarda büyük bi güzellik yapmış ve türk insanını böyle bir nimetle tanıştırmış. hele bir düşün, erkin koray o dönemlerde sahnede elektro gitar çalıyor ve onu dinleyen insanlar ne olduğunu çakozlayamıyo, boş boş bakıyo. erkin koray ise bi anda ""geleceğe dönüş""ün marty mcfly'ı gibi sahnede solosuyla kalakalıyo. bu adam kendi başına bi devrim yapmış; o çalarken en iyi çalan da oymuş, en kötü çalan da. başka çalan yokmuş ki bilader! kaldı ki bana kalırsa gayet de güzel çalmıştır orası ayrı.lakin uzun lafın kısası erkin koray gitar çalmıştır. ülkem müziğine adeta bir sol anahtarı olmuştur, yeni ufuklar açmıştır. sağolsundur. kalitesiz müzikle terbiye edilmiş kulakların tespitidir.yetenekleriyle, yarattıklarıyla, kavgalarıyla insanlara inandığı müziği aktarabilmiş, zamanının şartlarını dibine kadar zorlamış (belki de fazlasını yapabilmiş) binlerce müzisyen çıkamadı bu ülkede. barış manço' yu çocuk programı sunan bir adam olarak tanımak zorunda kaldı çocukların bazıları. erkin koray' ıarabeskparçalar yapan, kenarda köşede kalmış bir müzisyen,cem karaca' yı anarşik ve yasaklı bir müzik icracısı sandılar. bunlar ve onlarcası (binlercesi demek isterdim) olmadan neydik ki? beğenmeyen, üretmeyen ve dışarıya bağımlı küçük bir topluluktan fazlası değil.öyle bir ülke ki; fazlasını yapmak, ortada beklenti bile yokken yapılamayacakları, imkansızlıklar içerisinde yapabilmiş, hak ettiği değeri maalesef öldükten sonra görmeye mahkum bırakılmış büyük sanatçılarıyla gurur duymaktan bile utanan insanlarının varlığıyla, her gün daha fazla nefret ve kin soluyarak ilerleyen... kötü ya da iyi çalmak göreceli kavramlardır. tamamen tekniğe, tamamen melodiye ya da ikisine birden bağlı olarak değerlendirme yapılabilir. iyi bir gitarist midir erkin koray? belki değildir. ama iyi bir müzisyen midir? bence evet. ibo showa çıkması rezalettir, saçmaladığı da olmuştur illa ki pek çok zaman, sağdan soldan yürütmüştür bişeyler ama bunlar da gizli saklı şeyler olmamakla birlikte eğlenceli olmuştur (bkz:sayın arkadaşım osman) ve iddia ediyorum bunlar bu adamı kötü müzisyen yapmaz, önemli olan da budur bence. erkin koray gitar virtüözü olmaktan çok uzaktır ancakmesafeler'de döktürdüğü de bir gerçektir. (bkz:elvis presley nin kötü gitar çalması)diye de bir iddia vardır.ne derece doğrudur bilemeyeceğim...",https://eksisozluk.com/erkin-korayin-kotu-gitar-calmasi--2088873,20.03.2009,14.07.2019,2,erkin koray'ın kötü gitar çalması
7,"gitar çalan bireyleri paradoksa sürükleyen, ""orijinali neyse onu takiim"" cümlesinin sarfedilmesiyle son bulacak karar. gitar çalanların tamamen kendi konforlarını etkileyen, sesi o kadar da çok etkilemeyen ancak yapılacak atraksiyonlar arasında bir seçim yapılmasını gerektirecek de bir karardır bu. normalde gitarın klavyesinin düzgünlüğü, manyetik tipi, köprü tipi gibi kriterler göz önünde bulundurularak, fabrika çıkışı belli bir kalınlıkta tel takılır gitarlara. orta ve düşük seviye elektro gitarlar için bu kalınlık 0.09 mm'dir genelde (ince mi teli (1.tel)için). ancak kişi daha çokbendyapabilmek, parmaklarının daha az nasırlanmasını istemek gibi eğilimler içindeyse ve klavyesine de biraz güveniyorsa 0.08 telleri deneyebilir. ancak özellikle 1. telde manyetiklerden istediği şiddette bir ses çıkmayacağını da gözardı etmemelidir veya aksi durum olarak, ben gitarı deli gibi çalıyorum, duvarlara gitar vurasım gelio çalarken, elim, parmağım çalarken kan içinde kalıo diyen gitaristler ise 0.11 tellere upgrade edebilirler kendilerini. hatta 0.12, 0.13 diye giderek sololarda pek bir atraksiyon göstremeyip, drop d den daha beter drop c, drop b gibi abuk sabuk akort düzenlerine başvurup, iyice sapıtmaları da mümkün olmuş olur böylece. gerçi bluesculardan biliyoruz, solosunu atan 0.13'le de atar.. ayrıca klavye düzgünlüğü gibi bir problemleri de kalmaz (orta üstü bir gitarları varsa). ancak bu değişimi daha problemli yaşayacak kişiler de vardır. örneğinfloyd roseköprülü gitar  sahipleri. bunların bridgelerindekitremolonun yayları belli bir sertliğe göre ayarlanmıştır. kalın tel kullanımında doğacak sonuç, tremolonun kasılıp, sürekli basılmış halde kalması olacaktır. öte yandan tel kalınlığı değişimindeki bir önemli sorun da, sap ayarının ve dolayısıyla entonasyon ayarının yeniden yapılmasının gerekeceğidir.edit: zamanında kısa keselim derken saçmaladığımız da olmuş.. biraz düzeltelim...sesi pek etkilemiyor demişiz zamanında, ama aslında etkiler.. özellikle çakkada çukkada pena vuruşları teller kalınlaştıkça daha bi çıkar olur.. ayrıca klavyenin düzgünlüğü meselesi dandik gitarlarda kalın teller kullandıkça da beter haller alan bir durumdur.. yani o kalitede gitarlarda adamlar kalın telle sapın ne hallere gireceğini pek düşünmemiş olabiliyorlar, sap garip yerlerden eğilip bükülüp bir ayar yapılmasını imkansız hale getirebiliyor..keza, yine dandik gitarlara kalın teller taktıkça özellikle light top, heavy bottom gibi nispeten oransız gauge teller kullanıldıkça sapın üst kısmı daha çok bükülerek, sapın dönmesine yol açabiliyor.. gayet fena bişi..floyd rose köprülü gitarlarda kullanılan gauge değişince, floyd rose'un arkadaki yayları da o tension'a göre yaylarla değiştirebiliyor.. var yani o gitarlara da farklı gauge tel takma imkanı, sadece daha zor..(bkz:elektro gitarda sap ayarı)(bkz:elektro gitarda entonasyon ayarı)(bkz:blue steel) kişiden kişiye göre değişen bir seçimdir. ama çoğu kalınlığı da deneyip ondan sonra karar vermek gerekir ( mesela 1 aylık süreçlerle denemeye tabi tutulabilir ). genelde kalınlık oranı, kişinin gitarda sadece hız yapma isteğiyle orantılı olmaktadır. yani kişi daha hızlı sololar atmak istiyor diyelim, hemen gitar tellerini 0.8 olarak değiştiriverir. genelde bu tarz gitar çalan arkadaşların idol gitaristlerimalmsteen,steve vaigibi kişilerdir. genelin dışında ise bazıları da ancak o kalınlıktaki tellerde rahat ettikleri için kullanmaktadırlar.hızı seven ama 0.8 telin kullanımını beğenmeyenlerde 0.9 tercih edebilmektedirler. beğenmeme sebepleri genelde; tellerin ele çok ince gelmesinden ötürü kişinin gitara hakimiyet sağlayamamasıdır. çünkü gitar klavyesi acayip rahatlamıştır artık. hele birde teller klavyeye çok yakın ise o gitar tamamen bir hız manyağı birine ithaf edilmiştir.0.9 kalınlıktaki tel takımımız ise 0.8'e göre çok fark eden bir yapıdadır. kişi kullanmaya başladığı zaman hemen farkı yaşar. 0.8'e oranla artık sesler daha tok çıkmaktadır. işin mantığı; tel kalınlığı arttıkça ses güzelliği de artmaktadır. gitar hocamın bir zamanlar dediği gibi ses piyano sesi gibi olmaktadır.0.10 ise benim şahsi tercihimdir. 0.9 ile arasındaki fark pek hissedilmemektedir. buraya kadar yazdıklarımızdan sonra şöyle bir yanlış kavram oluşmasın sakın; ince telli gitar hız gitarı, kalın telliler akor gitarı, ritim gitarı yada slow parça gitarı. bu fikir şu yüzden yanlıştır: ince telli gitarlar dediğimiz gibi çok rahat bir çalıma sahiptirler ama kontrolude bir o kadar zordur. evet ilginç gelebilir ama öyle gerçekten. şöyle düşünülebilir; hepimiz çarpışan otolara binmişizdir. o çarpışan otonun direksiyonu çok rahattır, yani boşta gibidir. onun elimizden kontrolden kaçma riski çok yüksektir. ama çok ani manevralar için de birebirdir. kalın telli gitarların ise çalımı biraz daha katıdır. ama kişi alıştımı bırakamaz, hız olayı bunlarda da biraz daha fazla çalışma ile aynı şekilde yapılabilmektedir. ama kontrol etmesi ise ince tellilere göre daha kolay olacaktır. tel kalınlaştıkça aslında solo çalmak zorlaşmıyor. tek sorun alışma meselesi. kalın tel eşittir güzel sustain ve tok ton. ama tel değiştirirken entonasyon ayarı yapmayı unutmamak gerek. yıllar boyunca 0.08 tel kullanırken cleanların ve her daim ince mi telinin çılızlığından yakınıp durdum. ama "" yok abi alıştım o kadar 0.08'e"" deyip de hiç değişitirmedim. buna ek olarak da 0.08 kullanırken, ince mi telinin entonasyonunu bir türlü adam edemedim. nihayetinde deeeeh eytere beadiyerekten, 0.09 takım aldım. floyd rose ayarını da yaptıktan sonra abicim bir çalmaya başladım. vay be dedim hammalık ediyormuşum. entonasyonda cuk oturmuştu. çalış alışkanlığı açısından da hiç sorun yaşamadım. yani alışkanlığa pek zararı olmuyor sanırım. cleanlar daha tok, distortionlar da daha canlı ve dolu oldu. bend'lerde de sorun yok. bununla beraber bir iki ufak perdede cızırtılar vardı hepsi gitti. hatta ne hikmetse telleri sapa daha da yaklaştırdım hiç sorun olmadı.sanırım sonuç çıkartılacaksa, tel takımının kalınlığının seçimi kullanılan gitarın niteliğine göre değişmeli. 0.1 üstleri evet biraz daha tekniğe dayalı seçimler olsa da ben standart akortlu gitarda solo da atarım ritm'de atarım çeşit çeşit iş yaparım denecekse deneyimlerimce 0.08 yerine 0.09 daha iyi bir tercih olabilir.ama sanırım ses açısından bakılacaksa en nihayetinde fender'e mikron ölçüsünde tel bile taksan cozur cozur çıkartır o sesleri..  (bkz:eşeğe altın semer de vursan eşek yine eşektir) (bkz:http://okul.mydukkan.com/…ikta-tel-kullanmalisiniz/) bugün cort x2 ile 5 yılın sonunda 0,10'a geçeyim dedim ve o da ne köprü havada kaldı. o kadar farketti ki uyguladığı kuvvet. direnemedi köprü ve havada yani çalarken gitarı sesi köprüden inceltilebilir fakat kalınlaştırılamaz bu acı verici. zaten o şekilde kaldığı için teller çok feci uzaklaştı klavyeden. sapı ne kadar dış büfeye kassam da ayarı kaçtı artık dikiş tutmuyor. asla x2'ye 0,09 dışında bir şey takmayın arkadaş. hızlı çalarken tellerin bu kadar hareketli olması can sıkıcı ama napcan hiç çalışmama durumunu yaşamaktan iyidir. gitarın ince mi telinden bağlamavari bi ton alınması istenmiyor ise tatava yapmayıp 0.10'a geçilmelidir. eğer drop akord düzeni tercih ediliyor ise akord düzeninin ses kalınlığına göre 0.11 - 0.12 yardırılabilir. önemli olan tel değiştikten sonra düzgün bir sap - entonasyon - tel yüksekliği kombinasyonu tutturabilmektir, gitarın sap ağacı oturduktan sonra bu ayarları tekrar kontrol ederek(gitarın kalitesine göre) uzun vadeli, temiz bir kullanıma ulaşılabilir.nihayetinde tercih meselesidir, eyyorlanmam bu kadar.edit: marka konusunda ise elixir çok tavsiye edilir fakat zannedildiği kadar uzun ömürlü teller değildirler. benim tavsiyem 009 için dean markley slinky 010 için ise fender classic nikel tellerdir. 0.11'den ince teller ılık gitarist işidir. arkadaş ortamında konuşulduğunda gitar çalmayı bilmeyenlerin ""memleket meselesi oldu sanki"" şeklinde düşünmeleri ve bazen de bu şekilde tepki vermelerine sebep olan konudur. değil gitar teli kalınlığını, markasını değiştirseniz bile sap ayarı, entonasyon, köprü ayarı vs yapmanız gerekecektir. sevdiğiniz bir marka ve kalınlık bulun gitarınızı ona göre ayarlayın ve artık hep aynı markayı kullanın.drop akortlarda standart 0.11 ve 0.12 telleri önermem. alt telleri orta üst telleri kalın olan modeller seçin. kendi gitarımda drop c için yıllardır 0.11 - 0.56 kullanıyorum mesela;https://www.mydukkan.com/…4738&gid=207#.vyx9suayaegdrop a falan kullanlara 0.60 a kadar çıkmalarını öneririm.standart akortlu gitarlar için önerim 0.10 - 0.46 kalınlığındaki telleri kullanmak.",https://eksisozluk.com/gitar-teli-kalinligi-secimi--441973,29.11.2002,13.07.2019,2,gitar teli kalınlığı seçimi
8,35 yildir hayretler icerisinde yasadigim realite. oyle bir sistem kurulmus ki yazin patlayacak bir hit yapayim derken hemen araya giriyor recep hoca. sesi de bir sevimsiz ki ezan mi okuyor miyavliyor mu belli degil.,https://eksisozluk.com/tam-gitar-calacakken-hocanin-ezan-okumasi--6106492,13.07.2019,13.07.2019,1,tam gitar çalacakken hocanın ezan
9,"akortsuz gitar'ın yanlış yazılmışı. üstelik, anlamsız da olsa farklı bir anlam yüklenmişi.. akor basılmamış acaip gitar ... baglama calar gibi gitar çalan adamların çaldığı gitar olsa gerek. tek telli gitar.. (bkz:akor ile akort arasindaki 7 fark) (bkz:balta girmemiş orman) çoğunluklagitarçalmaya yeni başlayan kişilerin kullandığı ifadedir.aslında kastedilen akort dur.akort: tellerin belirlenmiş notaları verene kadar, duruma göre gerilmesi veya gevşetilmesi işlemi olmasına rağmen, çoğunlukla aşağıdaki ifade kullanılır. (bkz:akort)-akorbozuldu.- akorsuz gitarvb.tam tersi;- akort basamıyorum.diyen kişiyle pek karşılaşılmaz. kamuran akkorsuz gitar.",https://eksisozluk.com/akorsuz-gitar--88303,11.07.2000,11.07.2019,1,akorsuz gitar
