,date,entry
0,08.07.2000,orta olcekli bankalar arasinda en iyi servis veren banka secildi. ayni odulu 1996(ya da 97) 'da da almisti. cok guzel bir basari.
1,08.07.2000,"grafikleri, navigasyonu ve kullanımı[programı] itibariyle en iyiatmye sahip olan banka... çocukluktan beri bu bankada hesabımın olmasını isterdim, oldu... isteyince oluyor."
2,22.12.2000,"uch dort yıldır reklamlarında yaptıgı politik derecede klas shekıl sayesınde turk halkının sempatıosını kazanmısh banka. tantım ve reklam ıshlerını yuruten grubu tebrık etmek lazım.bankaların yılbashlarında tashaklı mushterılerıne yaptıkları hedıye yalaklıgı olayını bu yıl ınce bı shekılde durdurmushlar, üzerınde : ""gelecege hediye, sizden ve garantiden"" yazan natural bi kurshun kalemle, bu yıl sıze bı gulumseme ve ıkı ıshıldayan goz hedıye edıyoruz dıyen bı kartpostal yollamıshlar ve acıklamıshlar;""garanti olarak sizin için ögrencilere burs veriyoruz. daha chok eli kalem tutan gencimiz olsun ve daha aydınlık bi geleceğe kavuşalım diye. sizin yeni yılınızın da böyle mutlu ve gulumseyerek gechmesını dılerız"" şeklinde.chok hoshuma gıttı, mutlu oldum fılan umarım ""gıderlerı kısalım, nasılsa kımse kontrol etmez"" nıyetlı bı palavra degıldır"
3,15.05.2001,ga-ran-ti-kom-te-re diye reklam muzigi olanbanka.(bkz:garanti bankasi)
4,24.06.2001,"izmirlitikilerinalsancaktaki buluşma, piyasa yapma*mekanı"
5,19.10.2001,osmanlı bankası'nı bünyesine katan ve türkiye'nin en büyük özel bankası olan banka.
6,23.10.2001,'turk hava yolları' ile ortak bir mil programi baslatmıs banka.kredi karti var:shop and miles.alısveris karsiligi mil kazandiriyor.
7,23.10.2001,12 dev adamin ve avrupa sampiyonasinin sponsoru olan banka.
8,22.03.2002,"atm'lerinde donanim olarak celeron 433, 128 mb ram, fujitsu harddisk, cdrom*, os olarak da windows nt 4 bulunan banka."
9,10.06.2002,"vakti zamaninda, logosu olandort yaprakli yoncayi getirenlere para odulu veren banka."
10,21.06.2002,"internet subesi ne kadar basariliysa telefon bankaciligi bir o kadar basarisiz olan, daha sizi dinlemeden ""im-kan-siz, baska bir arzunuz"" diyen elemanlara sahip banka*"
11,27.06.2002,"genel müdürürn mydonose showland de tüm çalışanlarına yaptığı konuşmayı dinledikten sonra ""çalışmak istediğim banka işte bu"" diye düşünmenize yol açan güzel banka."
12,27.06.2002,"turkıyenın en ıyı reklamasyona sahıp bankası(bkz:garanti bankasi reklamlari), amma velakın turkıyenın calısanlarını ıtınayla kontrolden gecırmesı gereken ılk bankası (sımdıye kadar ugramam gereken 8 ayrı sehır subesınde, sorunsuz tek bır ıslem yapamadım.hıc bır ""tamam""larına guvenılmıyor kontrtol etmezsen acıkta kalırsın)"
13,04.08.2002,"toplumdan aldıklarını, topluma geri vermek konusundatürkiye'deki her kurumun örnek alması gereken, yaptığı sponsorluklar, eğitim, kültür ve spora olan duyarlılığı ile mali sektörün tüm pisliklerine karşın, kendisine saygın bir isim edinmeyi başarmış ve bu hakettiği bu ismi korumayı amaç edinmiş takdir edilesi banka"
14,04.08.2002,444 0 333 no'lu telefondan şube(siz) bankacılık kavramının telefon kısmını gerçekleştiren. ayrıca işlemlerinizde herhangi bir sorunla karşılaşırsanız 444 0 338 no'luhaklı müşteri hattıtelefonundan sorununuzla ilgilencek kişiyi kolaylıkla bulabildiğiniz banka.
15,04.08.2002,"""türkiye'nin götüne takılan pervane"" konseptli son reklamıyla oha dedirtmiş, küstah ötesi banka."
16,04.09.2002,"internet bankacılığında 0,24 dolarlık döviz borcunuzu ancak 1 dolar gibi bir miktarla ödeyebildiğiniz banka. kartınız da kapanmak üzere ise 1-0,24=0,76 dolarınızı hacılattığınız banka."
17,18.11.2002,"ana sayfasi bu sabah itibariylejava exception error '80004005'java.lang.nullpointerexception/asp/yg/ic_piyasalar.asp, line 45hatasi veren site.."
18,18.11.2002,"amblemleri olan dört yapraklı yoncaya benzer bir motor pervaneli geminin bas bas gitmeyeceğini farkedemeyen banka. tamam, ilginç olmuş ama biraz daha gerçekçi olsaydı iyi olurdu yahu. reklamı izleyince kıçıyla gülüyor insan."
19,24.11.2002,(bkz:garanti asistan)
20,20.12.2002,atm lerinde beni kullanin zaman kazanin yazan banka
21,25.12.2002,satışdepartmanına temsilci almak içinitüişletme fakültesi'nde sınav yapıyo bunlar.
22,18.04.2003,$u anki ekmek teknem
23,18.04.2003,"telefonda insanı 20 dk bekletme küstahlığı gösteren banka. genellikle bankacılığın b sini bile bilmeyen elemanları*, şube girişlerine koyup , insanların sordukları sorulara yanıt almamasını sağlayan banka.. genellike herşeyi sistem arızasın bağlayan banka.. en ufak bir sorunu bile 7 ayda çözmeyi başaramayan banka. otomatik çalışması gereken şeyleri bile çalıştırmayı beceremeyen banka.atmlerinde genellikle para bulunmayan banka.. atm'lerinin önünde uzun kuyruklar oluşan banka. bankacılığı görüntü zanneden banka."
24,21.04.2003,"insanların kendi işini kendileri görmesini sağlayarak, daha masraflı olan şube bankacılığından tasarruf etmek amaçlı kurulan internet bankacılığı işlemlerinden ücret talep etmeye başlamış bankadır. internetten yapılaneft'lerden 500.000 lira ve daha da kazık bir şekilde baska bankaatm'inden para çekildiğinde de 1 milyon lira ücret almaya başlamıştır. yuuh be kardesim 10 milyon çekicem anlasmalı bankanın atm' inden ve bunun için çektiğim paranın %10'u kadar masraf ödeyeceğim."
25,21.04.2003,"internet bankacılığı süper amaq maticlerden sıra numarası alma hadisesi neye göre ayarlanıyor anlaşılmıyor. kimisi kredi kartıyla numarayı alıp direk işlemini yapıyor, kimi kartı olsa da bekliyor."
26,21.04.2003,"garip bir şekilde başka hiçbir bankaya sempati besleyememekteyim. hayır, bunları sevdiğim de pek söylenemez lakin modern çağın gereği olan bir hizmet alacaksam bu bankadan vazgeçemiyorum arkadaş.internet sitesimacdostu olan tek banka olarak da bilinir"
27,11.05.2003,"""en iyi atm arabirimi"" ve ""en iyi internet bankaciligi"" dallarinda oscar'i hakeden banka.. geri kalaniyla i$im olmadi bilmiyorum.."
28,29.05.2003,(bkz:minibank)
29,27.06.2003,çalışanları arasındasinerjişeysini had safhada hissetirmek için çabalayan banka
30,03.07.2003,"kadıkoydeki 3 ana atmsinden sadece birinin calıstıgı, dıs gorunuse onem verip iceride sınıfta kalan banka su durumda. para bile cekemiyorsun ne olacak simdi?"
31,03.07.2003,imkb'deki senet kodugaranolan banka.
32,09.07.2003,(bkz:garanti leasing)
33,23.07.2003,"cok konusulan reklamlarinireklam evi’nin, halkla iliskiler danismanliginia ve b tanitim’in yaptigi, turkiye’nin en buyuk ozel bankasi. nerdeyse butun bankalarin topluca aldiklari bir karar dogrultusunda subeden yapilmayan bankacilik islemlerinden bile ucret almaya baslamasi, bugune kadarki basarili iletisim calismalarina golge dusurmustur. “baska bir arzunuz?” seklindeki meshur soruya, “evet, kendi kendime yaptigim islemlerden ucret alinmasin” diye cevap vermek gerekir."
34,26.07.2003,internet subesiglobal financetarafindan 3. kez turkiyenin en iyi internet subesi secilen banka.
35,01.08.2003,artık ziraat bankası dışında emekli maaşı ödeyecek bankalardan biri.
36,06.08.2003,"tatil beldeleri -dikili,didim-, hastaneler -dokuz eylül üniversitesi hastanesi- ve bilimum yerde -balçova-atmsi olmaması nedeniyle esefle kınadığım bankaayrıyeten internet şubesi çok iyi ama para çekilemiyor."
37,07.10.2003,"saçma sapan sırada bekletme sistemi olan banka...bi yere yetisecekseniz en az 1,5 saat oncesinden gidin ,belli olmuyor sıranın ne zaman gelecegi ...sıra numarasi bi kac turlu oldugu icindir bu saçmalık."
38,12.10.2003,e - ticaret olayını en iyi kıvıran banka. nisan 2000'de sanal kart hizmetini başlatmış olup şu anda 70 bin kayıtlı kullanıcıya ulaşmışlardır. türkiye pazarına girmek isteyen bir casino ödeme altyapısından faydalanmak için bu bankanın e - ticaret departmanına 10 milyon $ önermiştir fakat teklifin reddi ile havayı almışlardır.
39,25.10.2003,tek iyi tarafı internet şubesi olan banka.
40,07.11.2003,"kapkaç neticesi kredi kartını kaybeden ve bu durumu alo garanti yoluyla bankaya bildirip yeni kart talep eden bir insana, kart sahibinin ismi olarak ""isim defter çalındı soyisim"" yazılı bir kredi kartı basıp gönderebilmiş bir banka. tebriklerim kifayetsiz kalıyor kendilerine.yıllar sonra edit: hafta sonu gene görüştük bu konudan bahis açıldı, bilgi güncelleyeyim.şimdi bu kartın haliyle bir süre sonra kullanım süresi doluyor ve banka bunca yıldır, haaaalaaaaaa ayni isimle kart basıp göndermeye devam ediyor.daha da komiği arkadaşın soyadı ""kaya"" diyelim, ""xxx defter çalındı kaya"" şeklinde yazınca soyadı sığmadığından sadece kay yazabiliyorlar. ve cesitli vesilelerle arkadasin cep telefonuna da şöyle mesajlar gönderiyorlar:""sayın defter çalındı kay, bikbibkbikbik""sayın defter çalındı kay, düşündükçe asabım bozuluyo, aahahahahahahahah"
41,19.11.2003,müsteri onunde on takla atip zorlakredi*tahsis ettikleri musterilerinden aradan bir yıl gectikten sonramali analiz masrafiadi altinda para tırtıklayan banka. bundan bir adim sonrasi da bankaya telefon edenlerden veya şubeye gelenlerdenhizmet masrafiadi altindaharaçtahsili olacak heralde. galiba iyice zor durumdalar.
42,24.11.2003,"kesinlikle vadeli hesap açılmaması gereken banka (bkz:aman ha). diğer hizmetleri, kullandığım kadarıyla, fena değil."
43,24.11.2003,bayram oncesi yatanmaa$larla fon dahi alinmi$ olsa bunlari fon saatlerini degi$tirip zorla vadesizde tutmu$ boylece voliyi de vurmu$ hacim de yaratmi$ banka. turkiyenin en kaliteli bankasiyken sakil sakil hareketleri gozume batmiyor degil yaki$miyor garanti bankasina..
44,11.02.2004,çağrı merkezi olarakefqmkalite ödülünü alan banka.
45,06.03.2004,maaş günlerinde yapılaneftleri saat 17:00 veya sonrasında hesaba geçirip yatırım işlemi yapmamızı önleyen bankabir de istanbul dışındaki şehirlerdeatmsi veya şubesini bulmanızın zor olduğu banka.. bir çok ilde maksimum bir şubesi bulunur.. sanayi bölgelerin de*bile şubesi yoktur
46,08.03.2004,cogunluk hissleri italyanlara satilacakmis.hayirdir insallah.
47,11.03.2004,"bir bankanın internet kolu*nasıl olmalıdır? sorusunun hiçte abartı yapılmadan cevabını veren bankadır. ayrıca haklı müşteri hattı ile cep telefonundan, evden, mail ile ulaşıp ""sorununuzu ilettik birde sizden dinleyelim, arzu ettiğiniz başka birşey? hafta sonu temizliğe gelelim mi?"" gibi ilgi ve alakayla bana, ""işte benim bankam"" dedirtecek kadar bankacılığı sevdiren kuruluş."
48,11.03.2004,en iyiinternet bankaciligiyapmanin veya en luksgenel mudurlukbinasina sahip olmanin bir bankayi karli bir banka yapmaya yetmediginin kanıtı olan bir bankadır.
49,22.03.2004,"dandik bankaların bile birer şubesinin bulunduğu, bir üniversite, bir tıp faklültesi, iki tane beş yıldızlı, bir tane dört yıldızlı otel, bilmemkaç tane alışveriş merkezi, bilmemkaç tane hipermarkete ev sahipliği yapanbalçova'ya inatla şube açmamakta direnerek bir sürü müşterisini kaybeden, benim de aynı nedenle işlerimi çok zorlaştıran banka.şubeden geçtim, koca ilçede bir tane atm'si var, o dainciraltı'nda.edit: bu konuda şikayetçi olan da tek ben değilim galiba. (#3194946)edit2: nihayet yıllar sonra; temmuz 2006'da balçova'ya teşrif buyurdular."
50,29.03.2004,(bkz:markalı renkler/#4022158)
51,13.05.2004,internet bankacılığı ve spam email konusunda hiçbir bankanın rekabet edemeyeceği banka.
52,20.05.2004,"mudisi değilseniz, şubelerinde mudilerden daha fazla beklemeniz gereken banka."
53,25.05.2004,ilk internet bankacılığı formumu kaybeden ve işleme alamayıp beni günlerce oyalayan banka. bu olaydan dört yıl sonra çalışmaya başlayabildik. internet bankacılığı çok başarılıdır.
54,25.05.2004,"gerek normal şubeleri, gerek internet şubesi diger bankalara nazaran cok daha iyi olan ve şubesiz bankacılığı ilede bir adım onde alan köklü bankalarımızdan biri."
55,28.05.2004,(bkz:garanti bankası nın banca intesa ya satılı$ı/#4156548)
56,12.07.2004,özel bir kurum olarak türkiye nin en büyük sendikasyon kredisini alan banka.
57,21.07.2004,(bkz:runaway bride)
58,21.07.2004,tıklata tıklata porş vereceğiz diyen banka...
59,05.09.2004,türkiye'deki ilk web based atm uygulamasını hayata geçiren banka
60,06.09.2004,turkiyenin en iyi internet bankasi
61,08.09.2004,global financetarafından “türkiye’nin en iyi menkul takas ve saklama hizmeti veren bankası” (best sub-custodian in turkey) seçilen banka.
62,20.09.2004,"yurtdışından gelen paranızdan masraf adı altında en az 20$ haraç kesen, tedaş otomatik ödemenizi internet şubesinden iptal edemediğiniz problemli banka"
63,27.09.2004,"istanbul esentepe şubesine bir daha uğrarsam tüm personeli feci şekilde döveceğim banka,ağır çalışmakla kalmayıp devlet memurluğu hızını bile aşamayan personellerle dolu şubesinde yakında cıngar çıkarılacağı banka."
64,20.10.2004,"size hep güler yüz gösterip aslında yeterince paranız yoksa adam yerine koymayan bankadır.örnekte göreceğimiz gibi kafadan savma sistemi güzel çalışmaktadır...garanti bankası beykent şubesine gidilir ve vadesiz hesap açmak için işlemlere başlanır, işlemlerinizi yapan hamfendi aslında oldukça ilgili ve kibardır...derkene bakkal amca gibi giyinmiş bir bir müşteri gelir ve der kib:*iyi günler bana para lazımdı dag:*pardon anlamadım?kredi mi almak istiyorsunuz?b: aa evet...g: peki ne için?b: benim bir dükkanım var onu biraz genişletecem falan felan.... faiziniz nekadar acep?g: anlıyorum,faizimiz bla bla bla,sizi üst kattaki bilmem ne hanımla görüşmeniz gerekiyorb: peki...adam arkasını dönüp üst kata doğru yol almaya başlar başlamaz bizim işlemleri yapan bayan telefona sırılıp bilmemne hanım ı arayıp ""oraya biri geliyor,birşeyler söyleyip gönder"" der. oysa ki bu sırada bu kişi adam yerine koyulmadığının farkında değildir muhtemelen. gerçi daha gösterişli giyinip daha düzgün konuşsa aynı muameleyi görürmüydü bilinmez ama yaptıkları şey ayıp...bir de hesap açıldığı gün para felan yatırmamıştım,merak ediyorum acaba arkamdan dalga geçtiler mi..."
