,entry,links,listbegin,listend,maxpage,title
0,"['master of puppets daki gitar solo yıllarca telefon melodimdi.', 'alternatif olarak meşhurmalmistinvideosu telefon sesi yapılabilir.özellikle kurumsalda, plazada çalışanlar, patronunuzla aynı asansöre bindiğinizde çok eğleneceksiniz, inanın bana.- üfff nasssı çaliyom amaa... kendimden geçiy...- emre bey?- birilülülülü....- anlamadım emre bey??- anlayacağınız, yarramı çalarsınız...- sizi yarım saat içinde odamda görmek istiyorum emre bey...- miiiiiiiii!', 'uzuuun yıllardır bir david lee roth introsu kullanırım**az kaldı billy eilish bad guy ın malum kısmını yapıcam. ne hale geldik sözlük.', 'gitarı bilmem de kemanı yapmışlığım var.keman', 'sadece titreşimde kullanmayıp, telefonunun çaldığını herkese duyurma merakında olan görgüsüzlerin yapacağı hede.', ""uzun süredir düzenli aralıklarla yaptığım eylem.hep yeri gelse de söylesem diye fırsat kolluyordum.marilyn manson'ıneat me drink mealbümündetim skold' un tam zil sesi yapmalık soloları var:(bkz:putting holes in happiness)(bkz:they said that hell's not hot)(bkz:just a car crash away)"", 'gitar sololarını kullanmak özellikle kalabalık ve gürültülü ortamda ayırt edici olduklarından dolayı bir avantaj olarak görülebilir.ayrıca benim lan bu. sevdiğim bi şarkının solosu yıllardır zil sesim. çevremdekiler de bilir o sesin benim telefonuma ait olduğunu.', ""geçmiştechop suey'deki introyu kullandığım zamanları hatırlatarak utanmama vesile olan başlık."", ""gayet olağan bir durum.bundan yıllar önce bunu sıklıkla yapıyordum, hatta kim milyoner olmak ister yarışmasındaki; yarışmacı soruyu bildiğinde alkışı alıp diğer soruya geçme anında 'dıdı dıdı dım!' sesini bile telefon sesi yapmışlığım var.bir keresinde derste çaldı telefonum elemanın biri joker hakkımı kullanmak istiyorum dedi, güzeldir."", 'kafa şişirir.bir de uzun vadede farkında olmadan o şarkıdan soğumanızı sağlar.yapmayın, etmeyin.', 'breaking badadlı güzide dizinin jenerik müziğini kullanarak halen yaptığım eylem. bilen vaou der, bilmeyen de o nasıl melodi ya diye şaşırır.seviyoruz lakin; diziyi de müziğini de.', 'bir zamanlarbütün dünyanınyaptığı şeydi.', ""herkesin yapması gereken şeydir.tam olarak solo değil ama gitar ile başlayan ve benim için tüm parçanın solo kıvamında olduğujudas priest'inbreaking the lawparçasını yaklaşık 15 yıldır zil sesi olarak kullanıyorum.ayrıca kendisi gitarda baştan sona çalmayı öğrendiğim ilk parçadır. bugün bile gitarı elime aldığımda kolay oluşundan dolayı parmakları ısıtmak için birkaç defa çaldığım parçadır.not: bu entry'i yazarken 5 defa daha dinledim."", ""2001'den beri her telefon aldığımda ilk yaptığım şey. gary moore'un the prophet isimli parçasının patladığı yer 18 yıldan bu yana her arandığımda yankılanıyor. ölene kadar da değiştirmeyi düşünmüyorum"", ""sakin'in bir ses şarkısında 2.nakarattan sonra özdemir'in o muhteşem soloları bir zaman sony ericsson walkman telefonumun melodisiydi. grup dağılınca o hevesler de kalmadı."", 'telefonun sesi yüksekse veya uzun süre çalarsa milletin kafasını şişirmekten ve telefon sahibine küfrettirmekten başka bir işe yaramaz. lisede falan yapılır anlarım da iş güç sahibi insanlarda ergence duruyor. oldu olacak çalarken dinlet özelliğini aktif edin.', 'californication sarkisiyla katildigim eylem', 'çalan telefonu, dinlemekten açamamayla sonuçlanır çoğu zaman...', 'iron maiden (bkz:dance of death)', ""sweet child o' mineile katıldığım eylem."", ""gelen aramayı geç cevaplamaya sebep olan eylem.metallica'nınoneşarkısının solosunu yıllarca zil sesi olarak kullanmıştım. hatta metallica'nın birçok şarkısının solo kısımları, kesilmiş vaziyette ses listemde dururdu, onları da kullanmıştım azar azar."", 'kısa bir süredir stingin shape of my heart şarkısının o çok meşhur solosu zil sesim.', ""tek bir şarkının değil bir çok şarkının gitar solosunu kesip biçerek yaptığımdır. hatta o kadar çok ki bazılarını kişiye atadım ve o kişi aradığında ekranı görmeden kimin aradığını anlıyorum.neyse bir gün bir proje içinbabür örtegen'le buluştum ve bilenler bilir kendisi sağlam thrash'çi olup çok da iyi bir bas gitaristtir. tamthrash metalmuhabbeti yaparken bir arkadaşım aradı ve telefonumşu gitar solosuylaçalmaya başladı ki hesaplasam bu kadar denk gelmezdi. o anbabür örtegen'in verdiği coşkulu tepkiyi hala unutamıyorum eheh."", 'bir ara bunu kullanırdım,çok sevdiğim/gizli saklı kalmış şarkılardan...zamanın ötesinden', ""mavi kadikoy minibusunde bakislarin sahsiniza donmesi ile sonuclanabilir. saci yagli uzun sacli ergen kardesimiz yeah bro tarzi bakarken haci yagi kokan yasli teyze ve amcalarda allah allah kafir herhal falan der. dudak buzucu hanimlarda gozlerini devirip instagram minciklamaya devam ederler. minibuscu de radyonun sesini birazcik daha acar. ama guzeldir her seye ragmen, bir ara one day'in girisini kullaniyordum ama fazla duygusal kacti."", 'metallica - master of puppets ilk solo. telefon melodisi olarak gayet başarılı.', ""solo olmasa da holy wars'un introsunu telefon sesi yaparak katıldığım eylemdir."", 'system of a downdanny and lisa']",https://eksisozluk.com/sarkidaki-gitar-solosunu-telefon-sesi-yapmak--6113746,['19.07.2019'],['20.07.2019'],3,şarkıdaki gitar solosunu telefon sesi yapmak
1,[],https://eksisozluk.com/yngwie-malmsteen-gitar-egitim-videolari--5050154,['26.02.2016'],['0'],0,yngwie malmsteen gitar eğitim videoları
2,[],https://eksisozluk.com/gitar-askisi--725492,['12.09.2003'],['0'],0,gitar askısı
